formula,AIC,BIC
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6542.101616,6579.968831
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|id:domain:condition),6541.903724,6579.770939
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|stimulus:condition) + (1|id:domain:condition),6541.903724,6579.770939
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6583.016968,6620.884183
response_time ~ session_num + (1|id) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6582.929312,6620.796527
response_time ~ session_num + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6541.903724,6579.770939
response_time ~ session_num + (1|id) + (1|stimulus) + (1|id:domain) + (1|id:condition) + (1|stimulus:condition) + (1|id:domain:condition),6543.903724,6586.504341
response_time ~ condition + domain + (1|id),6615.724824,6644.125236
response_time ~ condition + domain + (1|stimulus),6609.751379,6638.151790
response_time ~ condition + domain + (1|id:domain),6581.306398,6609.706809
response_time ~ condition + domain + (1|id:condition),6625.598889,6653.999301
response_time ~ condition + domain + (1|stimulus:condition),6646.057554,6674.457965
response_time ~ condition + domain + (1|id:domain:condition),6602.733849,6631.134260
response_time ~ condition + domain + (1|id) + (1|stimulus),6565.492472,6598.626285
response_time ~ condition + domain + (1|id) + (1|id:domain),6583.305232,6616.439045
response_time ~ condition + domain + (1|id) + (1|id:condition),6616.657114,6649.790927
response_time ~ condition + domain + (1|id) + (1|stimulus:condition),6603.782778,6636.916592
response_time ~ condition + domain + (1|id) + (1|id:domain:condition),6597.627197,6630.761010
response_time ~ condition + domain + (1|stimulus) + (1|id:domain),6521.994538,6555.128351
response_time ~ condition + domain + (1|stimulus) + (1|id:condition),6576.291282,6609.425095
response_time ~ condition + domain + (1|stimulus) + (1|stimulus:condition),6611.751379,6644.885192
response_time ~ condition + domain + (1|stimulus) + (1|id:domain:condition),6545.765064,6578.898877
response_time ~ condition + domain + (1|id:domain) + (1|id:condition),6582.222471,6615.356284
response_time ~ condition + domain + (1|id:domain) + (1|stimulus:condition),6562.023067,6595.156880
response_time ~ condition + domain + (1|id:domain) + (1|id:domain:condition),6582.113213,6615.247026
response_time ~ condition + domain + (1|id:condition) + (1|stimulus:condition),6613.658092,6646.791906
response_time ~ condition + domain + (1|id:condition) + (1|id:domain:condition),6604.712595,6637.846408
response_time ~ condition + domain + (1|stimulus:condition) + (1|id:domain:condition),6583.248854,6616.382667
response_time ~ condition + domain + (1|id) + (1|stimulus) + (1|id:domain),6523.992752,6561.859967
response_time ~ condition + domain + (1|id) + (1|stimulus) + (1|id:condition),6566.122344,6603.989559
response_time ~ condition + domain + (1|id) + (1|stimulus) + (1|stimulus:condition),6567.492472,6605.359687
response_time ~ condition + domain + (1|id) + (1|stimulus) + (1|id:domain:condition),6540.130110,6577.997325
response_time ~ condition + domain + (1|id) + (1|id:domain) + (1|id:condition),6584.222471,6622.089686
response_time ~ condition + domain + (1|id) + (1|id:domain) + (1|stimulus:condition),6564.021328,6601.888543
response_time ~ condition + domain + (1|id) + (1|id:domain) + (1|id:domain:condition),6584.113212,6621.980427
response_time ~ condition + domain + (1|id) + (1|id:condition) + (1|stimulus:condition),6604.245436,6642.112651
response_time ~ condition + domain + (1|id) + (1|id:condition) + (1|id:domain:condition),6599.627197,6637.494412
response_time ~ condition + domain + (1|id) + (1|stimulus:condition) + (1|id:domain:condition),6577.985677,6615.852892
response_time ~ condition + domain + (1|stimulus) + (1|id:domain) + (1|id:condition),6522.572356,6560.439571
response_time ~ condition + domain + (1|stimulus) + (1|id:domain) + (1|stimulus:condition),6523.994538,6561.861753
response_time ~ condition + domain + (1|stimulus) + (1|id:domain) + (1|id:domain:condition),6522.288409,6560.155624
response_time ~ condition + domain + (1|stimulus) + (1|id:condition) + (1|stimulus:condition),6578.291282,6616.158497
response_time ~ condition + domain + (1|stimulus) + (1|id:condition) + (1|id:domain:condition),6547.745615,6585.612830
response_time ~ condition + domain + (1|stimulus) + (1|stimulus:condition) + (1|id:domain:condition),6547.765064,6585.632279
response_time ~ condition + domain + (1|id:domain) + (1|id:condition) + (1|stimulus:condition),6562.327351,6600.194567
